mode,mass_kg,ballistic_height_m,time_s,l0_m,body_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,required_joint_torque_nm,available_joint_torque_nm,torque_utilization,total_mechanical_power_w
landing,2.3,0.1,0.06569200113653556,0.07032000000000001,0.11203799355575761,2.1301838185533515,20.341757065028098,0.8897295530959322,6.0,0.14828825884932204,-7.581149987574637
landing,2.3,0.1,0.06583480983465846,0.07030420000000001,0.10923704371686371,2.0775967948437213,19.839587979075397,0.8894436659016505,6.0,0.1482406109836084,-7.391621237885275
landing,2.3,0.1,0.06597761853278136,0.07028880000000001,0.10643609387796982,2.024959888737893,19.336942551327006,0.8891648333692177,6.0,0.14819413889486963,-7.202092488195912
landing,2.3,0.1,0.06612042723090426,0.0702738,0.10363514403907592,1.9722742754529172,18.83383200427909,0.8888930695118671,6.0,0.14814884491864452,-7.0125637385065485
landing,2.3,0.1,0.06626323592902718,0.07025920000000002,0.1008341942001818,1.9195411380773346,18.330267635595014,0.8886283879869478,6.0,0.14810473133115795,-6.823034988817171
landing,2.3,0.1,0.06640604462715008,0.070245,0.09803324436128791,1.8667616673921898,17.82626081639614,0.8883708020952962,6.0,0.14806180034921604,-6.633506239127808
landing,2.3,0.1,0.06654885332527298,0.07023120000000002,0.09523229452239401,1.8139370616898591,17.321822989531764,0.8881203247806257,6.0,0.1480200541301043,-6.443977489438445
landing,2.3,0.1,0.06669166202339588,0.07021780000000002,0.09243134468350012,1.7610685265908255,16.816965667829447,0.8878769686289257,6.0,0.1479794947714876,-6.2544487397490816
landing,2.3,0.1,0.06683447072151878,0.07020480000000001,0.08963039484460622,1.7081572748583678,16.31170043232543,0.887640745867882,6.0,0.14794012431131368,-6.064919990059719
landing,2.3,0.1,0.0669772794196417,0.07019220000000001,0.0868294450057121,1.6552045262112358,15.80603893047581,0.887411668366313,6.0,0.14790194472771884,-5.875391240370341
landing,2.3,0.1,0.0671200881177646,0.07018000000000002,0.0840284951668182,1.6022115071344027,15.299992874349345,0.887189747633615,6.0,0.14786495793893584,-5.685862490680978
landing,2.3,0.1,0.0672628968158875,0.07016820000000001,0.08122754532792431,1.5491794506878396,14.79357403880141,0.8869749948192299,6.0,0.147829165803205,-5.4963337409916155
landing,2.3,0.1,0.0674057055140104,0.0701568,0.07842659548903042,1.496109596313476,14.286794259630588,0.8867674207121273,6.0,0.14779457011868788,-5.306804991302252
landing,2.3,0.1,0.0675485142121333,0.07014580000000001,0.07562564565013652,1.443003189640326,13.779665431717772,0.8865670357403007,6.0,0.14776117262338345,-5.117276241612889
landing,2.3,0.1,0.0676913229102562,0.07013520000000002,0.07282469581124262,1.38986148228785,13.272199507148404,0.8863738499702801,6.0,0.1477289749950467,-4.927747491923526
landing,2.3,0.1,0.06783413160837912,0.070125,0.0700237459723485,1.336685731667604,12.76440849331836,0.8861878731066628,6.0,0.14769797885111047,-4.738218742234149
landing,2.3,0.1,0.06797694030650202,0.07011520000000002,0.06722279613345461,1.2834772007832425,12.256304451024125,0.8860091144916611,6.0,0.14766818574861018,-4.5486899925447855
landing,2.3,0.1,0.06811974900462492,0.07010580000000001,0.06442184629456071,1.2302371580288884,11.747899492537368,0.8858375831046597,6.0,0.14763959718410993,-4.359161242855422
landing,2.3,0.1,0.06826255770274782,0.07009680000000001,0.06162089645566682,1.1769668769859771,11.239205779664939,0.8856732875618001,6.0,0.14761221459363336,-4.16963249316606
landing,2.3,0.1,0.06840536640087072,0.07008820000000002,0.05881994661677292,1.1236676362185967,10.73023552179452,0.8855162361155725,6.0,0.14758603935259543,-3.980103743476697
landing,2.3,0.1,0.06854817509899362,0.07008,0.05601899677787903,1.07034071906739,10.221000973926527,0.8853664366544284,6.0,0.14756107277573807,-3.7905749937873336
landing,2.3,0.1,0.06869098379711654,0.07007220000000003,0.05321804693898491,1.0169874134420647,9.711514434692738,0.8852238967024099,6.0,0.1475373161170683,-3.601046244097956
landing,2.3,0.1,0.06883379249523944,0.07006480000000001,0.05041709710009101,0.9636090116126093,9.20178824436254,0.8850886234187935,6.0,0.14751477056979892,-3.4115174944085926
landing,2.3,0.1,0.06897660119336234,0.07005780000000002,0.04761614726119712,0.9102068099991897,8.691834782836597,0.8849606235977565,6.0,0.14749343726629274,-3.22198874471923
landing,2.3,0.1,0.06911940989148524,0.07005120000000001,0.04481519742230322,0.8567821089608957,8.181666467629526,0.8848399036680498,6.0,0.1474733172780083,-3.032459995029867
landing,2.3,0.1,0.06926221858960814,0.07004500000000001,0.042014247583409325,0.8033362125832982,7.671295751841214,0.8847264696927004,6.0,0.14745441161545006,-2.842931245340504
landing,2.3,0.1,0.06940502728773104,0.07003920000000002,0.03921329774451543,0.7498704284649491,7.16073512211805,0.8846203273687196,6.0,0.14743672122811993,-2.6534024956511413
landing,2.3,0.1,0.06954783598585396,0.07003380000000001,0.03641234790562109,0.6963860675028222,6.649997096604028,0.8845214820268368,6.0,0.1474202470044728,-2.4638737459617484
landing,2.3,0.1,0.06969064468397686,0.0700288,0.033611398066727194,0.6428844436768468,6.139094222883201,0.8844299386312461,6.0,0.14740498977187436,-2.274344996272385
landing,2.3,0.1,0.06983345338209976,0.07002420000000001,0.030810448227833298,0.5893668738334503,5.628039075912663,0.8843457017793693,6.0,0.14739095029656155,-2.0848162465830224
landing,2.3,0.1,0.06997626208022266,0.07002000000000001,0.028009498388939402,0.5358346774683438,5.116844255948301,0.8842687757016389,6.0,0.14737812928360647,-1.8952874968936593
landing,2.3,0.1,0.07011907077834556,0.07001620000000001,0.025208548550045506,0.4822891765084869,4.605522386462718,0.8841991642612991,6.0,0.1473665273768832,-1.7057587472042963
landing,2.3,0.1,0.07026187947646848,0.07001280000000001,0.02240759871115139,0.4287316950933472,4.094086112056409,0.8841368709542177,6.0,0.14735614515903628,-1.5162299975149185
landing,2.3,0.1,0.07040468817459138,0.07000980000000001,0.019606648872257493,0.375163559355525,3.5825480963628884,0.8840818989087257,6.0,0.14734698315145428,-1.3267012478255555
landing,2.3,0.1,0.07054749687271428,0.0700072,0.016805699033363597,0.32158609720075343,3.0709210199478383,0.8840342508854645,6.0,0.1473390418142441,-1.1371724981361926
