l0_m,extension_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,available_joint_torque_nm,axial_force_per_leg_n,total_axial_force_n,total_mechanical_power_w
0.07,0.9500000000000001,18.181475638027514,173.62030322981704,5.0846578773912805,194.62438594840887,389.24877189681774,369.78633330197687
0.07,0.96,18.37285959211201,175.44788536907822,5.071864802416453,194.13470809369247,388.26941618738493,372.7386395398895
0.07,0.97,18.56424354619651,177.27546750833946,5.059071727441624,193.645030238976,387.290060477952,375.67135866361343
0.07,0.98,18.755627500281012,179.1030496476007,5.046278652466795,193.1553523842596,386.3107047685192,378.5844906731488
0.07,0.99,18.947011454365512,180.93063178686194,5.033485577491967,192.66567452954317,385.33134905908634,381.47803556849544
0.07,1.0,19.138395408450013,182.75821392612315,5.0206925025171385,192.17599667482673,384.35199334965347,384.35199334965347
0.07,1.01,19.329779362534513,184.58579606538441,5.007899427542309,191.68631882011027,383.37263764022055,387.20636401662273
0.07,1.02,19.521163316619013,186.41337820464562,4.995106352567481,191.19664096539387,382.39328193078774,390.0411475694035
0.07,1.03,19.712547270703514,188.24096034390686,4.982313277592652,190.70696311067744,381.41392622135487,392.8563440079955
0.07,1.04,19.903931224788014,190.0685424831681,4.969520202617824,190.217285255961,380.434570511922,395.6519533323989
0.07,1.05,20.095315178872514,191.89612462242934,4.956727127642995,189.72760740124454,379.4552148024891,398.4279755426135
0.07,1.06,20.286699132957015,193.72370676169055,4.943934052668166,189.23792954652814,378.4758590930563,401.1844106386397
0.07,1.07,20.478083087041515,195.55128890095182,4.931140977693338,188.7482516918117,377.4965033836234,403.9212586204771
0.07,1.08,20.669467041126016,197.37887104021303,4.9183479027185095,188.25857383709527,376.51714767419054,406.63851948812584
0.07,1.09,20.860850995210516,199.20645317947427,4.90555482774368,187.7688959823788,375.5377919647576,409.3361932415858
0.07,1.1,21.052234949295016,201.0340353187355,4.888367102664226,187.11100502489415,374.2220100497883,411.6442110547672
0.07,1.11,21.243618903379517,202.86161745799674,4.867806803597537,186.32402275838558,372.64804551677116,413.639330523616
0.07,1.12,21.435002857464017,204.68919959725795,4.847246504530848,185.53704049187706,371.07408098375413,415.6029707018047
0.07,1.1300000000000001,21.626386811548517,206.51678173651922,4.826686205464159,184.7500582253685,369.500116450737,417.5351315893328
0.07,1.1400000000000001,21.817770765633018,208.34436387578043,4.806125906397471,183.96307595885995,367.9261519177199,419.43581318620073
0.07,1.1500000000000001,22.009154719717518,210.1719460150417,4.785565607330781,183.17609369235137,366.35218738470275,421.3050154924082
0.07,1.16,22.20053867380201,211.99952815430285,4.765005308264093,182.38911142584283,364.77822285168565,423.14273850795536
0.07,1.17,22.39192262788651,213.8271102935641,4.744445009197404,181.6021291593343,363.2042583186686,424.94898223284224
